date,strategy,regime,position,pnl,cumulative_pnl
2015-01-16,evrp_boc_sizing,short_vol 20.95%,SVXY 20.95%,0.0,0.0
2015-01-20,evrp_boc_sizing,short_vol 21.10%,SVXY 21.10%,196.0876214997552,196.0876214997552
2015-01-21,evrp_boc_sizing,short_vol 18.85%,SVXY 18.85%,1007.8917508561717,1203.979372355927
2015-01-22,evrp_boc_sizing,short_vol 16.40%,SVXY 16.40%,1242.7528552812728,2446.7322276371997
2015-01-23,evrp_boc_sizing,short_vol 16.04%,SVXY 16.04%,-438.3908870830928,2008.3413405541069
2015-01-26,evrp_boc_sizing,short_vol 16.64%,SVXY 16.64%,734.374984327369,2742.716324881476
2015-01-27,evrp_boc_sizing,short_vol 15.97%,SVXY 15.97%,-818.1437468900549,1924.572577991421
2015-01-28,evrp_boc_sizing,short_vol 20.44%,SVXY 20.44%,-1407.3190456925804,517.2535322988406
2015-01-29,evrp_boc_sizing,short_vol 18.76%,SVXY 18.76%,486.06197758849885,1003.3155098873394
2015-01-30,evrp_boc_sizing,short_vol 20.97%,SVXY 20.97%,-1970.587980127675,-967.2724702403357
2015-02-02,evrp_boc_sizing,short_vol 19.43%,SVXY 19.43%,1283.8657432977634,316.5932730574277
2015-02-03,evrp_boc_sizing,short_vol 8.66%,SVXY 8.66%,943.1992237776285,1259.7924968350562
2015-02-04,evrp_boc_sizing,short_vol 18.33%,SVXY 18.33%,-253.31794395524776,1006.4745528798085
2015-02-05,evrp_boc_sizing,short_vol 18.84%,SVXY 18.84%,634.5611601880373,1641.0357130678458
2015-02-06,evrp_boc_sizing,short_vol 18.19%,SVXY 18.19%,-806.3492557606805,834.6864573071653
2015-02-09,evrp_boc_sizing,short_vol 18.12%,SVXY 18.12%,-91.1519663525105,743.5344909546548
2015-02-10,evrp_boc_sizing,short_vol 18.67%,SVXY 18.67%,683.6430910995696,1427.1775820542243
2015-02-11,evrp_boc_sizing,short_vol 18.56%,SVXY 18.56%,-133.22200179348874,1293.9555802607356
2015-02-12,evrp_boc_sizing,short_vol 15.34%,SVXY 15.34%,1184.9822494941182,2478.9378297548537
2015-02-13,evrp_boc_sizing,short_vol 15.51%,SVXY 15.51%,201.2953804590361,2680.23321021389
2015-02-17,evrp_boc_sizing,short_vol 15.47%,SVXY 15.47%,-49.63433327937673,2630.598876934513
2015-02-18,evrp_boc_sizing,short_vol 15.55%,SVXY 15.55%,107.54070480968221,2738.1395817441953
2015-02-19,evrp_boc_sizing,short_vol 15.88%,SVXY 15.88%,397.07361434810446,3135.2131960922998
2015-02-20,evrp_boc_sizing,short_vol 14.30%,SVXY 14.30%,559.7636952333996,3694.9768913256994
2015-02-23,evrp_boc_sizing,short_vol 14.24%,SVXY 14.24%,-72.42760318191722,3622.549288143782
2015-02-24,evrp_boc_sizing,short_vol 14.76%,SVXY 14.76%,627.7080431662325,4250.257331310015
2015-02-25,evrp_boc_sizing,short_vol 14.66%,SVXY 14.66%,-120.71297895886528,4129.544352351149
2015-02-26,evrp_boc_sizing,short_vol 14.80%,SVXY 14.80%,171.41220908951072,4300.95656144066
2015-02-27,evrp_boc_sizing,short_vol 14.88%,SVXY 14.88%,96.57075155386701,4397.527312994527
